rep,id,g,d,P0
4,73,30.6487,0.440944,42.0967
1,74,35.652,0.350223,82.2275
2,74,35.1893,0.30882,73.2479
3,74,37.6857,0.400805,75.157
4,74,27.1187,0.275369,80.3704
1,75,51.5129,0.568767,76.6402
2,75,35.5473,0.320999,67.4975
3,75,32.0444,0.268682,62.5956
4,75,44.0929,0.428435,79.6043
1,76,22.837,0.315597,24.3945
2,76,20.7966,0.38127,35.6545
3,76,22.92,0.355119,15.4142
4,76,27.8637,0.480615,26.5284
1,77,42.3064,0.41293,74.3791
2,77,38.6828,0.348713,76.5633
3,77,49.3936,0.505285,66.814
4,77,42.5564,0.360421,70.7924
1,78,79.8814,0.58423,32.2987
2,78,66.6631,0.475714,45.2485
3,78,58.6876,0.467553,61.1901
4,78,59.7329,0.410181,45.6999
1,79,42.4635,0.419987,74.9971
2,79,34.3333,0.340195,73.5622
3,79,40.266,0.361434,85.7742
4,79,35.2281,0.402556,93.3149
1,80,34.7538,0.264619,92.9069
2,80,36.345,0.297643,84.9657
3,80,41.1536,0.375042,96.5587
4,80,56.206,0.467391,95.3557
1,81,36.5421,0.463984,29.0317
2,81,35.2545,0.525569,27.747
3,81,36.3855,0.515186,31.7731
4,81,24.5492,0.269182,34.9167
1,82,26.7005,0.247401,87.5392
2,82,42.7848,0.449544,84.9005
3,82,35.7983,0.414658,90.4485
4,82,37.2034,0.378912,91.4796
1,83,35.2492,0.573715,43.889
2,83,27.472,0.513077,54.3372
3,83,36.6421,0.572587,57.7079
4,83,31.235,0.468687,58.6224
1,84,30.9135,0.448825,23.1906
2,84,41.4168,0.530973,21.053
3,84,22.092,0.301166,31.8547
4,84,25.1761,0.32724,23.7728
1,85,32.2609,0.522718,38.2191
2,85,38.3376,0.487906,20.9009
3,85,27.0157,0.341497,25.9791
4,85,26.8025,0.447277,28.8059
1,86,26.2674,0.325832,45.1243
2,86,39.7241,0.487131,46.9487
3,86,34.8398,0.453421,46.4203
4,86,33.9514,0.359564,42.5701
1,87,41.742,0.399339,81.3717
2,87,46.5737,0.444933,82.2326
3,87,53.8733,0.524328,83.7741
4,87,44.0125,0.444259,79.5298
1,88,34.3062,0.316639,20.4416
2,88,32.7484,0.368903,28.091
3,88,33.6864,0.398588,21.6112
4,88,30.2305,0.286652,24.6845
1,89,47.7878,0.38986,39.6319
2,89,34.8911,0.300613,37.0367
3,89,48.6881,0.45871,44.0723
4,89,50.4203,0.485048,38.8716
1,90,38.0317,0.358674,23.1093
2,90,39.2468,0.342681,28.8986
3,90,46.9838,0.407976,20.2141
4,90,49.0541,0.493618,30.9584
1,91,31.4981,0.415673,30.4731
2,91,18.4869,0.357225,28.7818
3,91,29.2679,0.43109,26.0793
4,91,26.6764,0.541258,34.0699
1,92,25.3148,0.311814,44.6114
2,92,31.4592,0.357616,34.7634
3,92,25.3737,0.335219,53.2074
4,92,35.6472,0.478435,35.7652
1,93,31.2364,0.310932,61.1191
2,93,30.0524,0.313626,62.1467
3,93,27.7303,0.291158,58.0462
4,93,27.1521,0.318864,55.1017
1,94,42.9857,0.436379,46.3524
2,94,40.7699,0.377034,32.7119
3,94,45.3489,0.412826,36.7135
4,94,53.7292,0.526002,21.3773
1,95,46.4277,0.388342,68.0489
2,95,43.7731,0.310579,63.9546
3,95,39.5174,0.329747,83.2806
4,95,38.6173,0.320641,72.1608
1,96,34.5671,0.564497,47.53
2,96,36.7994,0.530379,44.1822
3,96,38.3276,0.554154,62.5755
4,96,40.3827,0.607956,50.7828
1,97,27.4556,0.491519,27.4102
2,97,21.4923,0.332543,17.5915
3,97,19.1429,0.420111,29.4186
4,97,33.8326,0.575123,24.1104
1,98,42.9393,0.354355,25.756
2,98,46.4935,0.379926,33.4487
3,98,33.3928,0.242316,23.274
4,98,54.2076,0.474223,23.5494
1,99,33.2022,0.348716,38.7655
2,99,38.119,0.39161,47.367
