rep,id,eta_g,eta_d,eta_P0
3,67,0.00181113,-0.131576,0.70433
4,67,-0.0492833,-0.177185,0.807982
1,68,-0.359751,0.311585,-0.00633958
2,68,-0.161614,0.316555,-0.694772
3,68,-0.47639,0.0530163,-0.259563
4,68,-0.300721,0.131314,-0.644386
1,69,-0.096781,-0.218188,0.612667
2,69,0.345711,0.112712,0.486371
3,69,-0.0024715,-0.126352,0.638603
4,69,-0.0551506,-0.397166,0.561791
1,70,-0.12841,0.0618588,-0.0679252
2,70,-0.00144356,0.187923,-0.12315
3,70,-0.00195784,0.0899462,-0.0981159
4,70,0.135471,0.388654,-0.0573885
1,71,-0.0690057,-0.211842,0.0244763
2,71,0.202969,-0.0212338,0.292586
3,71,-0.10841,-0.297509,0.244362
4,71,-0.260813,-0.671702,0.255272
1,72,-0.210294,-0.0265197,0.178391
2,72,-0.184833,0.0723869,-0.00716429
3,72,0.0633495,0.278093,-0.0588059
4,72,-0.19067,0.204001,-0.0872098
1,73,0.162487,0.3644,0.247146
2,73,-0.074638,0.198911,-0.155979
3,73,-0.487945,-0.162288,0.0978227
4,73,-0.0882356,0.0386082,0.00993069
1,74,0.0629797,-0.19174,0.67945
2,74,0.0499174,-0.317551,0.56381
3,74,0.118456,-0.0568342,0.58954
4,74,-0.210602,-0.432197,0.656607
1,75,0.431008,0.293161,0.609083
2,75,0.0600381,-0.27887,0.482051
3,75,-0.043703,-0.456782,0.406656
4,75,0.275474,0.00982984,0.64703
1,76,-0.382442,-0.295844,-0.53568
2,76,-0.476035,-0.106802,-0.156164
3,76,-0.378817,-0.177856,-0.99475
4,76,-0.183499,0.124756,-0.451825
1,77,0.234113,-0.0270326,0.579136
2,77,0.144571,-0.196062,0.608079
3,77,0.388997,0.174814,0.471873
4,77,0.240005,-0.163037,0.529712
1,78,0.869718,0.319985,-0.255012
2,78,0.688827,0.114507,0.0821307
3,78,0.561403,0.0972021,0.383946
4,78,0.579059,-0.0337113,0.0920581
1,79,0.23782,-0.0100869,0.58741
2,79,0.0252896,-0.220791,0.568093
3,79,0.184683,-0.160231,0.721679
4,79,0.0510181,-0.0524761,0.805941
1,80,0.037463,-0.472018,0.801559
2,80,0.0822309,-0.354416,0.712208
3,80,0.206485,-0.123272,0.840112
4,80,0.518199,0.0968575,0.827575
1,81,0.0876403,0.0895414,-0.361652
2,81,0.0517671,0.214173,-0.406912
3,81,0.0833451,0.194218,-0.271419
4,81,-0.310145,-0.454922,-0.177075
1,82,-0.226142,-0.539301,0.742048
2,82,0.245358,0.0579239,0.711441
3,82,0.0670763,-0.0228554,0.774742
4,82,0.105575,-0.113007,0.786076
1,83,0.0516191,0.301822,0.0516251
2,83,-0.197659,0.190117,0.265169
3,83,0.0903741,0.299856,0.325355
4,83,-0.0692859,0.0996258,0.341078
1,84,-0.0796328,0.0563232,-0.586291
2,84,0.212863,0.224401,-0.682996
3,84,-0.41561,-0.342648,-0.268854
4,84,-0.28493,-0.259615,-0.561495
1,85,-0.0369682,0.208732,-0.0867038
2,85,0.135605,0.139812,-0.690245
3,85,-0.214408,-0.21697,-0.472748
4,85,-0.222328,0.0528675,-0.369459
1,86,-0.242495,-0.263927,0.0793812
2,86,0.171132,0.138224,0.119016
3,86,0.0399369,0.0665116,0.107698
4,86,0.0141048,-0.165419,0.021114
1,87,0.220684,-0.0605001,0.668988
2,87,0.330212,0.047614,0.679513
3,87,0.47581,0.211808,0.698085
4,87,0.27365,0.0460977,0.646092
1,88,0.0245,-0.292548,-0.712469
2,88,-0.0219713,-0.139776,-0.394591
3,88,0.00627034,-0.0623821,-0.656826
4,88,-0.101972,-0.39204,-0.523865
1,89,0.355945,-0.0845214,-0.050404
2,89,0.0414078,-0.344487,-0.11813
3,89,0.37461,0.0781096,0.0557917
4,89,0.409568,0.133939,-0.0697753
1,90,0.127596,-0.167896,-0.589803
2,90,0.159046,-0.213511,-0.366246
3,90,0.338979,-0.0391014,-0.72366
4,90,0.3821,0.151453,-0.297395
1,91,-0.0608962,-0.0204116,-0.313196
2,91,-0.59376,-0.171944,-0.370295
3,91,-0.134335,0.0160081,-0.468896
4,91,-0.227047,0.243587,-0.201624
1,92,-0.279435,-0.307902,0.0679504
2,92,-0.0621331,-0.170851,-0.181475
3,92,-0.277111,-0.235527,0.244159
4,92,0.0628453,0.12021,-0.153065
1,93,-0.0692405,-0.310735,0.382785
2,93,-0.107884,-0.302108,0.399459
3,93,-0.188301,-0.376443,0.3312
4,93,-0.209371,-0.285545,0.279141
1,94,0.250043,0.0282006,0.106234
2,94,0.19712,-0.117974,-0.2423
3,94,0.303562,-0.0272844,-0.126896
4,94,0.473131,0.214996,-0.667708
1,95,0.327072,-0.0884242,0.490187
2,95,0.268194,-0.311871,0.428134
3,95,0.165917,-0.251985,0.692177
4,95,0.142875,-0.279988,0.548858
1,96,0.0320774,0.285625,0.131322
2,96,0.0946563,0.223283,0.0582829
3,96,0.135345,0.267133,0.406334
4,96,0.187576,0.359793,0.197519
1,97,-0.198253,0.147191,-0.419124
2,97,-0.443129,-0.243539,-0.862621
3,97,-0.558893,-0.00979167,-0.348413
4,97,0.0105998,0.304275,-0.547396
1,98,0.248962,-0.18001,-0.481371
2,98,0.328489,-0.110332,-0.220026
3,98,-0.002483,-0.560065,-0.582701
4,98,0.481996,0.111368,-0.570939
1,99,-0.00820986,-0.196053,-0.0725077
2,99,0.129887,-0.080042,0.127886
3,99,-0.116984,-0.326673,0.110361
4,99,0.0359379,0.132017,0.117758
1,100,-0.0878768,-0.00045932,0.275218
2,100,-0.159742,-0.194746,0.277384
3,100,0.161344,0.2677,0.258813
4,100,-0.08469,-0.057281,0.390333
1,101,-0.67401,-0.602594,-0.215909
2,101,-0.598346,-0.179791,-0.157808
3,101,-0.297287,0.121832,-0.186281
4,101,-0.510583,-0.278043,-0.507286
1,102,-0.310636,-0.11593,-0.252198
2,102,-0.0818763,0.0712201,-0.302804
3,102,-0.372605,-0.0312793,-0.117406
4,102,0.0461315,0.384316,-0.0785588
1,103,0.16795,-0.351082,-0.378632
2,103,0.219511,-0.339576,-0.41324
3,103,0.125883,-0.315302,-0.169205
4,103,0.0544246,-0.487347,-0.396665
1,104,-0.350706,0.104926,0.0790988
2,104,-0.346396,-0.140202,-0.00701787
3,104,-0.353253,0.0436682,0.188587
4,104,0.118192,0.460075,0.030625
1,105,0.353499,-0.210128,-0.120021
2,105,0.571521,0.169805,-0.527666
3,105,0.481123,-0.0605195,-0.646297
4,105,0.348329,-0.126715,-0.142964
1,106,0.333083,0.23976,0.107379
2,106,0.0261703,-0.0451808,-0.02188
3,106,0.163777,0.00315828,-0.0728047
4,106,-0.0232574,-0.00861601,-0.0952693
1,107,0.392838,0.104217,0.438612
2,107,0.326243,0.036047,0.360319
3,107,0.330863,0.0421329,0.316471
4,107,0.113642,-0.261489,0.331372
1,108,-0.538638,-0.056891,-0.0499308
2,108,-0.129283,0.385794,-0.00840913
3,108,-0.269066,0.19525,-0.178627
4,108,-0.159212,0.326793,0.0365256
1,109,0.457218,0.296745,0.218811
2,109,0.284989,0.156517,0.36973
3,109,-0.144201,-0.357431,0.301356
4,109,0.132372,-0.123071,0.448779
1,110,-0.0414794,-0.0127543,-0.308363
2,110,0.0265529,0.0188719,-0.130015
3,110,0.105549,0.216982,-0.151101
4,110,0.0257866,0.0589127,-0.129402
1,111,-0.278395,0.133897,-0.332903
2,111,-0.131096,0.199001,-0.16907
3,111,0.263237,0.359004,-0.747964
4,111,-0.384019,-0.0914904,-0.0400651
1,112,0.160153,-0.183682,0.0233754
2,112,0.309027,0.260646,0.0977177
3,112,0.0918803,-0.0640009,0.235659
4,112,0.2971,0.17136,0.0945708
1,113,-0.0254517,-0.234104,-0.124833
2,113,0.274514,0.272582,0.0586093
3,113,-0.000629444,-0.123584,-0.292034
4,113,0.566722,0.506092,-0.471049
1,114,-0.309399,0.377725,0.306987
2,114,-0.449411,0.0652769,0.126563
3,114,-0.131103,0.16942,-0.195091
4,114,-0.190157,0.0786219,0.048825
1,115,-0.280133,-0.204596,0.304525
2,115,-0.122794,-0.209107,0.196425
3,115,0.0605576,0.0225758,0.257563
4,115,0.125231,0.397909,0.227177
1,116,0.298299,-0.135366,-0.133959
2,116,-0.00563922,-0.436614,0.203779
3,116,0.0683232,-0.222199,-0.264465
4,116,0.242308,-0.177318,-0.189638
1,117,-0.159975,-0.111927,-0.400088
2,117,0.119618,0.0689925,-0.550027
3,117,-0.194222,-0.234636,-0.438083
4,117,0.133524,0.0287952,-0.335284
1,118,-0.288368,0.063372,-0.573611
2,118,-0.2008,0.108213,-0.891005
3,118,-0.35369,0.00358651,-0.52589
4,118,-0.314734,0.110661,-0.298314
1,119,-0.33698,0.10696,-0.503451
2,119,-0.375332,-0.105095,-0.711195
3,119,-0.574464,-0.0939263,-0.250906
4,119,-0.112192,0.212805,-0.698368
1,120,0.430976,0.179586,-1.04713
2,120,0.561802,-0.114427,-0.991207
3,120,0.317503,-0.361703,-0.819818
4,120,0.669066,0.17872,-0.919469
1,121,-0.0336188,0.277539,0.228003
2,121,0.12437,0.189054,0.332723
3,121,-0.161549,-0.0218622,0.0531236
4,121,-0.605857,-0.406812,0.331884
1,122,0.367417,0.134184,-0.154741
2,122,0.053758,-0.205804,0.0493052
3,122,-0.140163,-0.394766,0.0965182
4,122,0.17427,-0.0646009,-0.136481
1,123,0.521444,0.138032,0.339354
2,123,0.185632,-0.130507,0.48149
3,123,0.106613,-0.281072,0.506142
4,123,0.17754,-0.198788,0.531338
1,124,-0.0117267,-0.14421,0.236169
2,124,0.0909467,-0.0446119,0.330258
3,124,-0.119932,-0.255428,0.255138
4,124,0.24286,0.124502,0.124234
1,125,-0.0670168,0.108001,-0.0161047
2,125,0.0546904,0.282877,-0.116204
3,125,-0.18468,0.124679,-0.0714717
4,125,-0.220609,-0.0252508,0.0893682
1,126,-0.0557494,0.507432,-0.45607
2,126,-0.175787,0.335858,-0.334238
3,126,-0.360571,0.226133,-0.216762
4,126,-0.388066,0.327257,-0.259687
1,127,0.690046,-0.150051,-0.462195
2,127,0.527827,-0.271783,-0.562331
3,127,0.354839,-0.412183,-0.118841
4,127,0.442677,-0.194689,-0.846106
1,128,-0.539737,-0.0219443,-0.0806743
2,128,-0.579572,-0.176249,0.0599262
3,128,-0.241408,0.22138,-0.144107
4,128,-0.530637,0.223627,0.141398
1,129,-0.563959,0.0532195,-0.0506645
2,129,-0.517506,0.194802,0.0446986
3,129,-0.16411,0.372883,-0.36024
4,129,-0.195317,0.0128365,-0.363579
1,130,0.541947,0.286379,0.284263
2,130,0.0407794,-0.192714,0.455892
3,130,0.100592,-0.187781,0.559566
4,130,-0.0741366,-0.423053,0.475335
1,131,0.193217,0.0472979,0.603025
2,131,-0.0551068,-0.296574,0.571828
3,131,-0.286805,-0.539098,0.673084
4,131,0.0700324,-0.167097,0.513361
1,132,-0.445155,-0.133463,-0.0158993
2,132,-0.517522,-0.398168,-0.144541
3,132,0.0228919,0.387388,-0.193286
4,132,-0.535907,-0.0421355,-0.48037
1,133,-0.333318,-0.0938653,-0.306768
2,133,-0.205929,0.140296,-0.278496
3,133,0.0160958,0.250237,-0.847036
4,133,-0.0829814,0.146372,-0.704313
1,134,0.213082,-0.251387,-1.04631
2,134,0.0491223,-0.280758,-0.470582
3,134,-0.190674,-0.591018,-0.277497
4,134,-0.0103884,-0.357698,-0.584192
1,135,0.476123,-0.0617396,0.348349
2,135,0.610593,0.143638,0.0810788
3,135,0.680119,0.137037,0.0340094
4,135,0.664095,0.0992625,0.113491
1,136,-0.1457,-0.559714,0.000454772
2,136,-0.0720556,-0.208752,0.00875802
3,136,0.275349,0.0886959,0.184917
4,136,0.0724298,-0.368283,0.103712
1,137,0.837788,0.226104,-0.00591719
2,137,0.840084,0.353495,0.344605
3,137,0.462366,-0.11957,0.19868
4,137,0.666084,0.0795185,0.234913
1,138,-0.0436512,-0.231529,0.276693
2,138,0.127484,-0.0700297,0.316523
3,138,0.191267,0.106167,0.209204
4,138,0.271356,-0.0701639,0.223153
1,139,-0.488581,-0.226409,0.471782
2,139,-0.260576,-0.199629,0.397025
3,139,0.0463043,0.349192,0.515166
4,139,-0.0298284,0.0744645,0.463897
1,140,-0.347438,0.0883556,-0.331483
2,140,0.0807697,0.500352,-0.369804
3,140,-0.178497,0.132923,-0.625965
4,140,-0.444296,0.041824,-0.040838
1,141,-0.682912,-0.429249,-0.195443
2,141,-0.377828,-0.137307,0.0575701
3,141,0.144375,0.50938,-0.226477
4,141,-0.0264803,0.358846,0.0260711
1,142,0.296794,0.212343,0.0335252
2,142,0.206134,0.0132379,0.147192
3,142,-0.180564,-0.284929,0.123309
4,142,0.318731,0.0547224,-0.201881
1,143,-0.105068,0.109955,-0.02806
2,143,-0.161744,0.101559,-0.0915522
3,143,-0.337602,-0.0399405,0.086754
4,143,0.00523003,0.385219,0.274477
1,144,0.0114454,-0.251732,-0.206208
2,144,-0.0383641,-0.0448277,0.0481514
3,144,0.159296,0.0344337,-0.0911663
4,144,0.012967,-0.115484,0.0853302
1,145,0.405501,0.270005,0.242254
2,145,-0.00538367,-0.209857,0.08395
3,145,-0.0510159,-0.400165,0.101586
4,145,0.280542,-0.012152,0.140155
1,146,0.0353676,-0.268347,0.334598
2,146,-0.0269487,-0.0920857,0.379592
3,146,0.388943,0.276572,0.284559
4,146,0.369823,0.295162,0.240229
1,147,-0.109298,-0.0450763,-0.210378
2,147,-0.19871,-0.121576,-0.121219
3,147,-0.287234,-0.373484,-0.418873
