rep,id,V0,delta
3,48,6788.04110313019,0.153662899320682
4,48,14169.4598174232,0.129006052880164
1,50,8128.99611263434,0.174474799456071
2,50,4408.2546381031,0.161758931411549
3,50,8647.05561530342,0.175004033735208
4,50,6157.17329223811,0.146449450604703
1,51,8929.81974757815,0.150996351878143
2,51,39917.1793074891,0.139946651119604
3,51,4174.85115209077,0.142086198195043
4,51,44672.1049428015,0.144693237909846
1,54,293114.631825625,0.1406495537011
2,54,1616773.8825363,0.162738175625034
3,54,3545537.69226403,0.13068068132582
4,54,2162029.49374555,0.154114667390368
1,55,19057.9323542648,0.139126692398824
2,55,43094.410932494,0.145612730029266
3,55,29866.487330228,0.157056633410509
4,55,8083.17503996538,0.160297742808438
1,60,45838.4390307101,0.143078746991202
2,60,88144.9131027853,0.147255232712083
3,60,72881.7621661645,0.148134685869805
4,60,67228.2448454412,0.154725906442341
1,61,8381.81945846964,0.17449590221202
2,61,6207.861474982,0.145373931399238
3,61,12885.3286967788,0.177019442618023
4,61,4802.30702440604,0.150153004917469
1,64,8408.48214471384,0.152961573982324
2,64,9735.00611939228,0.146970658395196
3,64,19508.6728146785,0.15140814203065
4,64,6315.04609035209,0.164405616497026
1,65,230954.500188928,0.14474486825235
2,65,302048.052147461,0.152047077182525
3,65,383405.305837652,0.160730385057313
4,65,298817.826344137,0.164589581505693
1,66,31440.2868085676,0.150238968647535
2,66,23117.1802659617,0.131075127808531
3,66,2405.35251614128,0.167759686881326
4,66,14074.5167261879,0.169326534335405
1,67,50337.806865142,0.173217109904068
2,67,43151.1525294222,0.13590857219097
3,67,18297.531524857,0.158300239804393
4,67,12413.13735417,0.157545734865494
1,68,9198.32414815616,0.160458953771937
2,68,10328.2962819645,0.146975846238729
3,68,8106.94165661974,0.160267804082126
4,68,9478.31052665845,0.157932382060902
1,69,30712.9967869738,0.159383931390132
2,69,55797.8039552431,0.171634744776796
3,69,28198.8390029345,0.127862819046573
4,69,27402.7426972414,0.155695189897172
1,70,14716.7499319508,0.168381573911054
2,70,14464.5198586186,0.147650928133337
3,70,7702.21737322663,0.143426062494876
4,70,3341.83944099732,0.15388091174666
1,71,59669.9802696716,0.163596101505256
2,71,15794.6923373851,0.142443880800128
3,71,7501.85474004084,0.150466649954881
4,71,2775.19744029056,0.148795685566952
1,72,69447.8166472377,0.155296279596177
2,72,12869.5751077222,0.168552358698391
3,72,7403.95034096443,0.144886645401349
4,72,55591.8478154523,0.158318047094647
1,73,4271.21996774533,0.163983372783474
2,73,29389.471102051,0.144488013765346
3,73,203085.68357893,0.147928399390784
4,73,1903195.38342906,0.169983548997466
1,74,10071.7803208732,0.142719853181373
2,74,11473.5884763953,0.154128534615178
3,74,21044.9614026243,0.158686148327997
4,74,18669.2305157045,0.160730051545223
1,75,25923.0231461164,0.176434496908831
2,75,19892.715907961,0.135745455005423
3,75,69226.4381008585,0.160136260281455
4,75,65240.9265302946,0.143132436356284
1,76,70861.4370219275,0.146229686328426
2,76,35459.9049134995,0.144459967284648
3,76,79236.6528026423,0.125326147075109
4,76,113089.793610214,0.151971527842132
1,77,25922.2894616719,0.147866433697344
2,77,9711.21969812153,0.13559821743197
3,77,8842.57852726831,0.141538859297511
4,77,25455.5394568803,0.138851044616546
1,79,30429.6706725493,0.148270249969296
2,79,30231.1678062086,0.141856699961138
3,79,42885.5464004089,0.14193240993857
4,79,37572.8040082124,0.163702899791575
1,80,21949.328830472,0.144764132309009
2,80,12091.9281934275,0.147860009058035
3,80,34049.9216071532,0.144059469931689
4,80,55130.8176295106,0.138261704906176
1,81,5180.06625983843,0.166963067190115
2,81,56430.8105196821,0.152134265547449
3,81,12421.8440044816,0.164840995791537
4,81,10036.034169365,0.143804590058114
1,82,11717.3931854082,0.155650950285437
2,82,30764.1325957119,0.152797730012152
3,82,8366.48935013146,0.162446541716014
4,82,28179.4404447776,0.163259004055102
1,83,140404.899965054,0.1518617248146
2,83,40968.5621622612,0.15047560811255
3,83,272231.38334419,0.14934258901589
4,83,324911.147394984,0.174731168007239
1,84,12465.7548895002,0.174031723585354
2,84,17465.9810244734,0.140813794319808
3,84,27185.6793644745,0.153433829012267
4,84,16889.5761219766,0.157321648033449
1,85,5640.82884158376,0.148335755666039
2,85,9087.25309428443,0.15195479575255
3,85,15976.3798848016,0.159140160295213
4,85,30346.7850913499,0.165209342013797
1,86,35082.7082621266,0.169632149854049
2,86,11055.7616683977,0.140996039875888
3,86,46124.1836789329,0.148560752565239
4,86,15499.2910218856,0.145206416245726
1,87,12727.4031401601,0.151734530995764
2,87,26955.4241699448,0.190727217923839
3,87,8791.86920462826,0.163659682037951
4,87,4406.99307938811,0.14795159066526
1,103,69272.571857053,0.143377974866011
2,103,87759.732876458,0.162657606373224
3,103,169303.612921225,0.148824017299902
4,103,28337.3945030416,0.157026108865779
1,112,234788.851758304,0.156723103366574
2,112,845928.115335954,0.156904627620658
3,112,172336.865718569,0.134353249160883
4,112,898052.326396058,0.151581373948815
1,113,8894.29197266616,0.159194333463696
2,113,41163.3603847487,0.171628618288575
3,113,4616.10163739626,0.148876513261267
4,113,8310.81904484465,0.160499451550022
1,114,30654.9102819349,0.14448847802322
2,114,71455.795879063,0.163038933863709
3,114,49946.5806583719,0.159106366200325
4,114,139791.781557847,0.155880942084314
1,115,108517.43022685,0.155959956424725
2,115,16794.6590185177,0.136848816011991
3,115,109211.15912415,0.15203854927901
4,115,34156.8444363612,0.156654369409474
1,116,24547.4114037255,0.166783753653563
2,116,83958.6222818637,0.161972259696122
3,116,128538.24622974,0.152772237269403
4,116,38251.7980632838,0.134214385423337
1,117,22718.5892317343,0.145743204194707
2,117,20801.1933682256,0.166930863646519
3,117,48903.56602924,0.165752437811662
4,117,69294.8251033215,0.151227891960139
1,120,26516.066485143,0.164278976649332
2,120,14923.085473644,0.154407376781559
3,120,27481.2903344652,0.146233393552345
4,120,14742.1611130918,0.151454592454384
1,121,7456.8597170777,0.179207540134291
2,121,25347.8603321017,0.142743633077225
3,121,18547.4171065125,0.13491078382455
4,121,5060.99528382916,0.147657311407333
1,122,32498.0878252227,0.158764613204825
2,122,10429.94467951,0.146281664724989
3,122,286947.722976765,0.18774235214749
4,122,75405.012646286,0.171162156749566
1,124,20034.7280023258,0.155400103761325
2,124,8214.46431465469,0.14174315092536
3,124,20083.0557366479,0.171420521884931
4,124,31563.8359684098,0.16052353777173
1,125,11278.8283579907,0.15683896919395
2,125,22148.5394689436,0.165306567418896
3,125,27149.0124976972,0.140814535913756
4,125,20556.3803917127,0.137363544754098
1,129,10906.1042967292,0.155924388607159
2,129,5510.47487934282,0.144509655909262
3,129,11951.5301228261,0.142360621781766
4,129,18237.0402921585,0.147152759778267
1,135,21178.0668691264,0.174197004565683
2,135,17699.2476665765,0.150544527547774
3,135,15384.2814832979,0.145725899881506
4,135,6331.84269050745,0.136730122274831
1,140,236300.499510521,0.148407005367063
2,140,166948.927765132,0.148240202994488
3,140,59941.8672977901,0.152740176931114
4,140,59366.9393582921,0.178689896478791
1,151,46462.9833313065,0.152186393802333
2,151,101011.490159944,0.164979634740281
3,151,25448.2159161242,0.152517097198867
4,151,39784.2279299547,0.150631090524342
1,152,92271.5436459885,0.179705896279022
2,152,49034.1169854249,0.146760298957636
3,152,144428.785403295,0.164830808750302
4,152,102771.342819852,0.152414009528753
1,153,12602.3948509946,0.137182853162983
2,153,37500.6821827251,0.139963166652811
3,153,16252.9579005653,0.157265488593449
4,153,24007.3673768324,0.150336815068831
1,155,36971.2796822767,0.163621700009047
2,155,31118.6801719935,0.150280522800252
3,155,34081.6830029226,0.148332938351699
4,155,71033.5551756359,0.148704499939322
1,158,5956.32450074307,0.163529850231633
2,158,52867.5469630424,0.149214318221054
3,158,73831.6809995794,0.140851357979414
4,158,16849.7043628509,0.16106411431108
1,159,4142.9680603352,0.13328197779126
2,159,2816.81020746472,0.160602439341977
3,159,1187.80063266589,0.145739795313613
4,159,4407.44908580312,0.165347691559758
1,160,11198.3329218145,0.157381484017348
2,160,25929.5208625297,0.143294469094574
3,160,14758.3706355564,0.163028363235619
