rep,id,eta_tau,eta_g,eta_c,eta_a1,eta_a2,eta_a3,eta_d,eta_tau1,eta_tau2,eta_tau3
1,9,0.163200851523025,0.0751753718487715,-0.245644839216902,-0.117301402573458,-2.13992819682571,0.447349325290443,-0.185135868216199,-0.0786241266682326,1.94703814516693,0.239262040778144
2,9,-0.265775212702541,-0.0437729103809385,-0.476888788619386,0.784926510532092,-1.35994131096063,-0.371200017049605,0.150004651152227,-0.00985619165176164,-1.35614498984211,0.219411824104928
3,9,0.255796063796721,0.0372585433699488,0.0657406008496113,-0.0892195421884299,-1.65290710123153,-0.39027840423479,0.128515960993227,-0.0106589197732024,0.570403004409222,0.128929077506421
4,9,0.32969996282709,-0.0737711889051143,-0.345514377065129,-0.166451961947865,-1.55897505563369,0.63633188585825,-0.409325239453948,0.00384137185197542,1.23113582744895,-0.258787840070957
1,10,-0.340866364410362,-0.081438112258718,-0.819689040624857,-0.137184318398318,-0.872399797641092,-0.197056830702252,0.0281962862994383,-0.0176433715295457,0.168749259299111,-0.469758675543782
2,10,-0.458210507276917,-0.0735171499844703,-0.809971001707479,-0.137184318398318,-0.65840490560978,-0.201262405069975,-0.405168416138694,-0.0424527908026987,0.228492260104078,-0.649763304914496
3,10,-0.461479604233911,-0.0653433297368474,-0.832139546802363,-0.137184318398318,-0.772518632074922,-0.432435690877462,-0.103504259422276,-0.0256339325917838,0.228492260104078,-0.503917699573403
4,10,-0.349254473441258,-0.103458598574839,-0.748729323321647,-0.318527644581996,-1.07824629394971,-0.503681132319319,-0.318356820407995,-0.0503939179296489,0.0768549078353812,-0.147908943151811
1,11,0.310224268867875,0.0292771366701095,-0.474846450102598,0.579227691156911,-1.14853164349343,-0.00127219823899277,-0.142159578564855,0.0406452742464404,-0.295989958847153,0.0608087710982278
2,11,0.293949770164128,0.00950037571661782,-0.497615203611844,0.832485294278281,-1.1704412994848,-0.420471127543022,0.245248590806587,-0.0391103658969293,-1.02026469286352,0.14634305363982
3,11,0.243965875089398,0.0692809977692879,-0.633183892780858,0.78512569144731,-1.45881937902103,-0.208544791958819,0.0805478182273041,-0.0269497801083671,-0.0279219609951225,0.0599575848749769
4,11,0.201756140721502,0.0512131902150784,-0.790883443505462,0.74256670659257,-1.47031761215779,0.416360217382351,0.223983753369477,0.0182428407152275,0.214663704729578,-0.380971193246009
1,14,-0.555537493486752,-0.272778258556238,0.210401546959194,-0.216309148464165,-1.11932866061832,-0.0394325213518368,0.228644957234951,0.0726436218491234,-1.19097059810154,-0.464164220828023
2,14,-0.0755128904739229,-0.0430999935178537,0.802983805531939,-0.31274344612118,1.19476997050769,0.203420466199701,-0.0707934152912541,-0.0482128247253316,-0.930033345342778,0.302309525411346
3,14,-0.373565327023787,-0.112754901287404,0.413249079969523,0.0429807911655558,0.674105834819983,0.273066243066032,-0.0293725315369033,0.00367817509113616,1.70432829248562,-0.199820299471494
4,14,-0.0512128111681698,-0.0490720097831223,0.763728768217783,0.393095344005553,1.6355216533788,-0.221091148896189,0.117834868757907,0.0439978709763114,-1.56957413942846,0.292646775163808
1,16,0.163016085873861,0.115881163585109,0.78059755967145,-0.222270469072934,-1.07992105034672,0.504578512668691,0.0787435065459239,0.0258165819909457,1.50028354604863,-0.0500856137397237
2,16,-0.323604668678299,0.177669989102187,0.811025535023037,-0.314880804173931,-0.764792211500541,0.0616859791930714,-0.0149086357624539,0.134037116922197,0.132249991198217,-0.0858572863959622
